Type,Source,Date,Client_Name,Email,Phone,Company,Service_Interest,Amount,VAT,Total_Amount,Invoice_Number,Priority,Message
INVOICE,invoice_TF-2024-006.html,2024-01-26,Ιατρείο Παπαδόπουλος,,,TechFlow Solutions,unknown,6220.00,1492.80,7712.80,TF-2024-006,high,"The customer is Ιατρείο Παπαδόπουλος and is inquiring about services from TechFlow Solutions, but specific service details are missing."
INVOICE,invoice_TF-2024-007.html,2024-01-27,"Καφέ ""Ελληνικός""",,,TechFlow Solutions,unknown,1720.00,412.80,2132.80,TF-2024-007,medium,"The customer 'Καφέ ""Ελληνικός""' is associated with the company 'TechFlow Solutions', but no specific service or priority has been provided."
INVOICE,invoice_TF-2024-008.html,2024-01-28,Δικηγορικό Γραφείο Κ. Μάντζιου,,,TechFlow Solutions,Legal Services,3800.00,912.00,4712.00,TF-2024-008,high,The customer is a law office seeking services from TechFlow Solutions.
INVOICE,invoice_TF-2024-009.html,2024-01-29,"Fitness Club ""Ηρακλής""",,,TechFlow Solutions,Fitness solutions or technology services for fitness clubs,1590.00,381.60,1971.60,TF-2024-009,high,"The customer is a fitness club seeking services from TechFlow Solutions, but specific service details are missing."
INVOICE,invoice_TF-2024-010.html,2024-01-30,"Φωτογραφικό Στούντιο ""Φως""",,,TechFlow Solutions,Photography Services,3500.00,840.00,4340.00,TF-2024-010,medium,"The customer is a photography studio named 'Φωτογραφικό Στούντιο ""Φως""' and is likely interested in services related to photography."
EMAIL,email_01.eml,2024-01-20,Σπύρος Μιχαήλ,spyros.michail@techcorp.gr,210-3344556,TechCorp AE,CRM System,,,,,high,"Σπύρος Μιχαήλ από την TechCorp AE ζητάει πληροφορίες για ένα σύστημα CRM, περιγράφοντας τις ανάγκες της εταιρείας του."
EMAIL,email_02.eml,2024-01-20,Ελένη Παπαγεωργίου,eleni@fashionstore.gr,6944-123456,Fashion Store Athens,E-commerce Platform,,,,,high,"Ελένη Παπαγεωργίου, ιδιοκτήτρια του Fashion Store Athens, ζητάει τη δημιουργία ενός e-commerce website για την επιχείρησή της, με έμφαση στη διαχείριση αποθεμάτων και ενσωμάτωσης πληρωμών."
EMAIL,email_03.eml,2024-01-21,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Office Solutions Ltd,Invoice Processing,,,,,high,"Αποστολή τιμολογίου #TF-2024-001 για είδη γραφείου με συνολική αξία €1,054.00."
EMAIL,email_04.eml,2024-01-21,Παναγιώτης Κωνσταντίνου,panagiotis@autoservice.gr,2310-987654,AutoService Κωνσταντίνου,Garage Management System,,,,,high,"Παναγιώτης Κωνσταντίνου από το AutoService Κωνσταντίνου ζητάει πληροφορίες για ένα Garage Management System λόγω προβλημάτων με τη χειροκίνητη καταγραφή εργασιών, παρακολούθηση spare parts, και τιμολόγηση πελατών."
EMAIL,email_05.eml,2024-01-22,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Microsoft Hellas,Software Licenses,,,,,high,"Invoice TF-2024-002 for software licenses from Microsoft Hellas, totaling €2,976.00, due in 30 days."
EMAIL,email_06.eml,2024-01-22,Δημήτρης Βασιλείου,dimitris@hotelgroup.gr,22840-123456,Aegean Hotel Group,Hotel Management System,,,,,high,"Δημήτρης Βασιλείου, General Manager at Aegean Hotel Group, urgently needs a new hotel management system to manage three hotels with various functionalities including booking, housekeeping, and guest services. The current system is outdated and the season starts in two months."
EMAIL,email_07.eml,2024-01-23,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Computer World SA,Invoice Processing,,,,,high,"Αποστολή τιμολογίου για εξοπλισμό υπολογιστών με αριθμό TF-2024-003 και συνολικό ποσό €5,208.00."
EMAIL,email_08.eml,2024-01-23,Βασίλης Γεωργάκης,vasilis@pharmnet.gr,210-6677889,PharmNet - Δίκτυο Φαρμακείων,Pharmacy Management System,,,,,high,"Βασίλης Γεωργάκης, a pharmacist with three pharmacies in Athens, is seeking a comprehensive Pharmacy Management System that includes inventory management, sales and billing integration, customer management, and reporting features."
EMAIL,email_09.eml,2024-01-24,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Digital Marketing Agency,Marketing Services,,,,,high,"Invoice TF-2024-004 for marketing services sent, totaling €1,984.00 with a breakdown of services provided in January."
EMAIL,email_10.eml,2024-01-24,Σοφία Αλεξάνδρου,sofia@greenfood.gr,6977-888999,GreenFood Delivery,Food Delivery App Development,,,,,high,"Σοφία Αλεξάνδρου, ιδρύτρια της GreenFood, ζητάει ανάπτυξη εφαρμογής για υγιεινές παραγγελίες φαγητού με συγκεκριμένες λειτουργίες και στόχο την εκκίνηση σε 3 μήνες."
